Type,SKU,Name,Manage stock?,Stock,Images,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Parent,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Regular price,Description,Short description,Categories
simple,army-print-dog-coat,Army Print Dog Coat,1,29.0,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/army-print-dog-coat/Gemini_Generated_Image_lvjolmlvjolmlvjo_9e17f2d3-0f65-432a-8103-d4a5c25acac4.png,,,,,,,,,,499.0,"<p>The Army Print Dog Coat keeps your canine companion warm, dry, and stylish on every trek.</p><ul><li>Rugged army‑print fabric</li><li>Water‑resistant outer shell</li><li>Warm fleece lining</li><li>Adjustable belly and neck straps</li><li>Reflective safety trim for night walks</li><li>Easy‑on zip closure</li><li>Machine washable</li><li>Available in sizes XS–XL</li></ul>","The Army Print Dog Coat blends rugged camouflage style with functional warmth, keeping your pup cozy and visible on outdoor adventures. Crafted from water‑resistant fabric with a soft fleece lining, it’s perfect for hikes, walks, and playtime in any weather.",Pet Supplies
simple,big-figure-8-cotton-rope-dog-toy-heavy-duty-tug-of-war-chew-toy-for-dogs-strong-braided-rope-for-interactive-play-teeth-cleaning,Big Figure 8 Cotton Rope Dog Toy | Heavy Duty Tug of War & Chew Toy for Dogs | Strong Braided Rope for Interactive Play & Teeth Cleaning,1,49.0,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/big-figure-8-cotton-rope-dog-toy-heavy-duty-tug-of-war-chew-toy-for-dogs-strong-braided-rope-for-interactive-play-teeth-cleaning/51SGlFwZ82L._SX522.jpg,,,,,,,,,,,"Turn playtime into a bonding experience and a dental care routine all in one with the Big Figure 8 Cotton Rope Dog Toy. Expertly braided from premium, natural cotton fibers, this heavy-duty tug toy is designed to withstand vigorous chewing, enthusiastic fetch sessions, and spirited pull matches. The unique figure-8 shape gives both you and your pup a comfortable, secure grip, making it perfect for interactive games that strengthen muscles and sharpen minds. Plus, the tightly knotted fibers naturally floss between teeth and massage gums as your dog chews, helping to reduce tartar buildup and promote fresh breath—all while they’re too busy having fun to notice.
<ul>
<li>Ultra-Strong Braided Cotton: Built tough for heavy pullers and enthusiastic chewers without relying on harsh synthetic materials</li>
<li>Ergonomic Figure-8 Design: Provides a balanced, no-slip grip for both you and your dog during spirited tug-of-war sessions</li>
<li>Active Dental Health: Natural fibers gently clean teeth, massage gums, and help reduce plaque buildup with every bite</li>
<li>Bonding & Exercise Encourager: Keeps dogs physically active, mentally stimulated, and strengthens the human-canine connection</li>
<li>Pet-Safe & Low Maintenance: Crafted from 100% non-toxic cotton and fully washable for quick, hassle-free cleanup</li>
</ul>","Keep your pup entertained and their teeth sparkling with the Big Figure 8 Cotton Rope Toy. Built for heavy-duty tug-of-war and safe chewing, it’s the ultimate blend of fun and functional play for active dogs.",Dog Rope Toy
simple,cosco-ball-rope-dog-toy-for-throw-fetch-cotton-polyester-blend-slingshot-rope-toy-with-tennis-ball-strong-tug-chew-toy-for-dogs-ideal-for-outdoor-play-red,Cosco Ball Rope Dog Toy for Throw & Fetch | Cotton Polyester Blend Slingshot Rope Toy with Tennis Ball | Strong Tug & Chew Toy for Dogs | Ideal for Outdoor Play – Red,1,50.0,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/cosco-ball-rope-dog-toy-for-throw-fetch-cotton-polyester-blend-slingshot-rope-toy-with-tennis-ball-strong-tug-chew-toy-for-dogs-ideal-for-outdoor-play-red/71Sf77tCBZL._SX679.jpg,,,,,,,,,,,"Give your dog an exciting outlet for their natural instincts with the Cosco Ball Rope Dog Toy. Designed for active pets who love to run, grab, and shake, this slingshot-style toy combines a tightly woven cotton-polyester blend for superior tug-of-war durability with a securely attached tennis ball that guarantees irresistible fetch sessions. Whether you are in the backyard or at the park, its vibrant red design ensures quick visibility while providing endless entertainment and promoting healthy, joint-friendly exercise.<ul><li>Heavy-duty cotton-polyester rope withstands vigorous pulling and chewing</li><li>Integrated tennis ball creates a dynamic slingshot trajectory for thrilling throws</li><li>Encourages natural jaw exercise and reduces destructive boredom behaviors</li><li>Vibrant red color ensures quick spotting on grass, dirt, or sand</li><li>Perfectly sized and durable for medium to large dogs who love outdoor fetch</li></ul>","Rev up playtime with the Cosco Ball Rope Dog Toy, the ultimate mix of fetch, tug, and chew fun. Crafted from a durable cotton-polyester blend and built with a classic tennis ball, this red slingshot-style toy delivers hours of safe, active adventure for your furry friend.",Dog Rope Toy
simple,crab-cotton-rope-dog-toy-durable-chew-tug-toy-for-dogs-strong-braided-rope-for-teeth-cleaning-interactive-play-safe-pet-rope-toy,Crab Cotton Rope Dog Toy | Durable Chew & Tug Toy for Dogs | Strong Braided Rope for Teeth Cleaning & Interactive Play | Safe Pet Rope Toy,1,50.0,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/crab-cotton-rope-dog-toy-durable-chew-tug-toy-for-dogs-strong-braided-rope-for-teeth-cleaning-interactive-play-safe-pet-rope-toy/51eUnl6_TLL._SX522.jpg,,,,,,,,,,,"Turn every playtime session into an ocean-fresh adventure with a toy that perfectly balances whimsical design and unbeatable durability. Inspired by a playful crustacean, this engaging pull-and-pounce companion taps into your dog’s natural hunting instincts while delivering hours of solo or interactive entertainment. Tightly woven from premium, non-toxic cotton, every satisfying bite and enthusiastic tug works double duty by gently scraping away plaque, massaging gums, and satisfying your pup’s need for safe, constructive chewing.<ul><li><strong>Whimsical Crab Silhouette:</strong> The unique, eye-catching shape naturally triggers chase, pounce, and shake behaviors for maximum engagement.</li><li><strong>Heavy-Duty Braided Construction:</strong> Premium natural cotton fibers are tightly twisted to resist fraying and stand up to power chewers and vigorous tug-of-war games.</li><li><strong>Natural Dental Care:</strong> The rugged rope texture acts as a built-in flosser, helping to reduce plaque and tartar buildup while promoting fresher breath and healthier gums.</li><li><strong>Versatile Interactive Play:</strong> Perfectly sized for fetching, solo chewing, and human-to-pet bonding sessions that keep dogs physically active and mentally sharp.</li><li><strong>100% Pet-Safe Materials:</strong> Free from harmful dyes, chemicals, and synthetic fibers, this toy gives responsible pet owners complete peace of mind during every bite and pull.</li></ul>","Spark endless fun and promote healthy dental habits with our delightfully designed Crab Cotton Rope Dog Toy. Crafted from ultra-strong, pet-safe braided cotton, it’s built to withstand enthusiastic chewing and energetic tug sessions.",Dog Rope Toy
simple,customized-pet-name-id-tag,Customized Pet Name ID Tag,1,30.0,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/customized-pet-name-id-tag/Gemini_Generated_Image_if1ylhif1ylhif1y.png,,,,,,,,,,199.0,"Give your beloved pet the gift of safety and style with our Customized Pet Name ID Tag. Crafted from durable, high-quality stainless steel, this tag is designed to withstand every adventure your pet embarks on—from rainy-day walks to backyard explorations. Personalize it with your pet's name and your contact number, ensuring that should they ever wander a bit too far, a kind stranger can quickly reunite you. Available in a variety of shapes, sizes, and finishes to match your pet's unique personality, our ID tags are lightweight, hypoallergenic, and feature smooth edges for comfortable wear. Don't wait—give your companion the protection they deserve today.<ul><li>Personalized with your pet's name and your contact information</li><li>Made from durable, rust-resistant stainless steel</li><li>Available in multiple shapes: round, heart, bone, and rectangular</li><li>Lightweight design won't weigh down your pet's collar</li><li>Smooth, rounded edges prevent irritation or scratching</li><li>Easy to read engraved text that won't fade over time</li><li>Includes a sturdy split ring for secure collar attachment</li><li>Perfect for dogs, cats, and other pets of all sizes</li></ul>","Ensure your furry friend's safety with a personalized ID tag featuring their name and your contact information, because peace of mind comes in many shapes and sizes.",Customized Pet ID Tag / Dog ID Tag
simple,customized-pet-name-velcro-patch,Customized Pet Name Velcro Patch,1,20.0,"https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/customized-pet-name-velcro-patch/rn-image_picker_lib_temp_8d08c310-f0f3-4954-a2b2-d38f6f203c6d.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/customized-pet-name-velcro-patch/rn-image_picker_lib_temp_262f0e84-89e2-418d-9529-1cc665b86303.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/customized-pet-name-velcro-patch/rn-image_picker_lib_temp_7a6c10a7-8b45-4ba4-9ebb-8f1c1a61c866.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/customized-pet-name-velcro-patch/rn-image_picker_lib_temp_cea59d97-d762-4d59-840a-ae38c43e3a3e.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/customized-pet-name-velcro-patch/rn-image_picker_lib_temp_8420edd5-b23d-4e6b-ad15-d50c374c9bad.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/customized-pet-name-velcro-patch/Gemini_Generated_Image_uawfscuawfscuawf.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/customized-pet-name-velcro-patch/rn-image_picker_lib_temp_3674b884-ce11-40e2-895d-231ec85c7492.png",,,,,,,,,,199.0,"Give your pet a gear upgrade that’s as unique as they are. Our Customized Pet Name Velcro Patch blends everyday practicality with standout personalization, making it effortless to spot your companion at crowded parks, busy trails, or quiet neighborhood strolls. Backed with heavy-duty hook material, it bonds instantly to any standard loop-friendly collar, harness, tactical vest, or travel bag without weighing your pet down. Built for active lifestyles and designed for quick swaps, this patch ensures your dog or cat is always recognized, protected, and looking sharp wherever your adventures take you.
<ul><li>Fully customizable name input for a crisp, professional personalization tailored to your pet</li><li>Military-grade hook backing provides a secure, shake-proof bond to loop fabrics and molle gear</li><li>Quick-swap design allows you to transition patches between walk harnesses, travel carriers, and work vests in seconds</li><li>Premium weather-resistant stitching resists fading, fraying, and peeling through rain, mud, and daily adventures</li><li>Ultra-lightweight and pet-safe with smooth, snag-free borders that glide comfortably through all coat types</li></ul>","Make your furry friend’s gear uniquely theirs with our Customized Pet Name Velcro Patch. Designed for quick attachment and everyday durability, it delivers instant identification and personalized style for any pet.",Custom Pet Velcro Patch / Dog Name Patch
variable,dog-army-harness-soft-padded,Dog Army Harness Soft Padded,0,,"https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-army-harness-soft-padded/Gemini_Generated_Image_yg1cwtyg1cwtyg1c.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-army-harness-soft-padded/Gemini_Generated_Image_1dm4b21dm4b21dm4.png",Accessory size,"L, M, S",1.0,0.0,,,,,,,"Turn every neighborhood stroll or weekend hike into a mission-ready excursion with a harness built to perform. Crafted from premium military-grade nylon and lined with ultra-plush padding, this tactical harness distributes pulling pressure evenly across the chest to protect your dog's delicate throat and neck. The secure, heavy-duty dual clip system gives you unmatched leash control, while breathable mesh lining keeps pets cool during intense training sessions or hot summer trails. Designed with quick-adjust buckles and reinforced stitching, it stays securely in place while delivering exceptional maneuverability and comfort.

<ul>
  <li>Pressure-distributing soft padding protects joints and prevents chafing</li>
  <li>Military-grade nylon webbing and reinforced stitching withstand tough adventures</li>
  <li>Dual heavy-duty attachment points for enhanced front-lead and back-lead control</li>
  <li>Quick-release buckles and 4-point adjustable straps deliver a secure, custom fit</li>
  <li>Breathable, moisture-wicking inner mesh keeps dogs cool and comfortable</li>
</ul>","Equip your canine companion with ultimate comfort and tactical control using the Dog Army Harness Soft Padded. Engineered for active pups, it combines rugged durability with plush, pressure-relieving padding for all-day adventures.",Pet Supplies
variation,dog-army-harness-soft-padded-L,Dog Army Harness Soft Padded - L,1,0.0,"https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-army-harness-soft-padded/Gemini_Generated_Image_yg1cwtyg1cwtyg1c.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-army-harness-soft-padded/Gemini_Generated_Image_1dm4b21dm4b21dm4.png",Accessory size,L,,0.0,dog-army-harness-soft-padded,,,,,399.0,,,
variation,dog-army-harness-soft-padded-M,Dog Army Harness Soft Padded - M,1,0.0,"https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-army-harness-soft-padded/Gemini_Generated_Image_yg1cwtyg1cwtyg1c.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-army-harness-soft-padded/Gemini_Generated_Image_1dm4b21dm4b21dm4.png",Accessory size,M,,0.0,dog-army-harness-soft-padded,,,,,299.0,,,
variation,dog-army-harness-soft-padded-S,Dog Army Harness Soft Padded - S,1,20.0,"https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-army-harness-soft-padded/Gemini_Generated_Image_yg1cwtyg1cwtyg1c.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-army-harness-soft-padded/Gemini_Generated_Image_1dm4b21dm4b21dm4.png",Accessory size,S,,0.0,dog-army-harness-soft-padded,,,,,199.0,,,
